platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,exclusivity
Netflix,Dhobi Ghat,MOVIE,2010,102,drama,7.0,13167,Netflix Exclusive
Netflix,Karthik Calling Karthik,MOVIE,2010,135,thriller,7.1,12114,Netflix Exclusive
Netflix,Romantik Komedi,MOVIE,2010,95,comedy,5.3,5111,Netflix Exclusive
Netflix,Once Upon a Time in Mumbaai,MOVIE,2010,132,thriller,7.4,17642,Netflix Exclusive
Netflix,The Unjust,MOVIE,2010,119,thriller,6.6,2217,Netflix Exclusive
Netflix,We Are Family,MOVIE,2010,115,drama,5.6,3166,Netflix Exclusive
Netflix,Love in a Puff,MOVIE,2010,104,romance,7.1,2625,Netflix Exclusive
Netflix,Do Dooni Chaar,MOVIE,2010,146,drama,7.5,5594,Netflix Exclusive
Netflix,Peepli Live,MOVIE,2010,104,drama,7.4,12309,Netflix Exclusive
Netflix,Ijé: The Journey,MOVIE,2010,106,drama,6.2,110,Netflix Exclusive
Netflix,My Amnesia Girl,MOVIE,2010,110,comedy,6.7,432,Netflix Exclusive
Netflix,Stray Bullet,MOVIE,2010,76,drama,6.3,368,Netflix Exclusive
Netflix,Well Done Abba,MOVIE,2010,144,comedy,7.2,1902,Netflix Exclusive
Netflix,Once a Gangster,MOVIE,2010,95,comedy,5.7,500,Netflix Exclusive
Netflix,Chance Pe Dance,MOVIE,2010,121,drama,4.8,2979,Netflix Exclusive
Netflix,Bheem vs Aliens,MOVIE,2010,69,animation,7.6,38,Netflix Exclusive
Netflix,Tango with Me,MOVIE,2010,104,drama,6.3,46,Netflix Exclusive
Netflix,Project X,MOVIE,2012,88,comedy,6.6,207830,Shared
Netflix,Zero Dark Thirty,MOVIE,2012,157,thriller,7.4,296416,Netflix Exclusive
Netflix,The Amazing Spider-Man,MOVIE,2012,136,action,6.9,646119,Netflix Exclusive
Netflix,The Dark Knight Rises,MOVIE,2012,165,thriller,8.4,1669067,Netflix Exclusive
Netflix,Mission: Impossible - Ghost Protocol,MOVIE,2011,132,thriller,7.4,485301,Netflix Exclusive
Netflix,Margin Call,MOVIE,2011,107,thriller,7.1,128874,Netflix Exclusive
Netflix,Django Unchained,MOVIE,2012,165,western,8.4,1472668,Netflix Exclusive
Netflix,Les Misérables,MOVIE,2012,158,drama,7.5,327017,Netflix Exclusive
Netflix,Argo,MOVIE,2012,120,thriller,7.7,600392,Netflix Exclusive
Netflix,Kung Fu Panda 2,MOVIE,2011,90,animation,7.2,280433,Netflix Exclusive
Netflix,Contagion,MOVIE,2011,106,drama,6.8,301531,Shared
Netflix,Sherlock Holmes: A Game of Shadows,MOVIE,2011,129,action,7.4,449965,Shared
Netflix,Contraband,MOVIE,2012,109,action,6.4,122383,Netflix Exclusive
Netflix,Savages,MOVIE,2012,131,drama,6.4,129746,Netflix Exclusive
Netflix,Dark Shadows,MOVIE,2012,113,comedy,6.2,265626,Netflix Exclusive
Netflix,Total Recall,MOVIE,2012,118,scifi,6.2,253352,Netflix Exclusive
Netflix,The Smurfs,MOVIE,2011,103,animation,5.4,90097,Netflix Exclusive
Netflix,Soul Surfer,MOVIE,2011,106,drama,7.0,49599,Netflix Exclusive
Netflix,LOL,MOVIE,2012,92,drama,4.3,55976,Netflix Exclusive
Netflix,Unknown,MOVIE,2011,113,thriller,6.8,260783,Netflix Exclusive
Netflix,Rise of the Guardians,MOVIE,2012,97,fantasy,7.2,173157,Netflix Exclusive
Netflix,Here Comes the Boom,MOVIE,2012,105,action,6.4,90126,Netflix Exclusive
Netflix,Berserk: The Golden Age Arc I - The Egg of the King,MOVIE,2012,76,action,7.5,12548,Netflix Exclusive
Netflix,Rurouni Kenshin Part I: Origins,MOVIE,2012,134,action,7.4,26098,Netflix Exclusive
Netflix,Everything Must Go,MOVIE,2011,97,romance,6.4,50792,Netflix Exclusive
Netflix,Silenced,MOVIE,2011,125,drama,8.0,16423,Netflix Exclusive
Netflix,The Rite,MOVIE,2011,114,drama,6.0,97585,Netflix Exclusive
Netflix,Quartet,MOVIE,2012,98,drama,6.8,20297,Netflix Exclusive
Netflix,Arthur Christmas,MOVIE,2011,97,drama,7.1,58635,Netflix Exclusive
Netflix,Hop,MOVIE,2011,101,animation,5.4,34363,Netflix Exclusive
Netflix,Red Riding Hood,MOVIE,2011,100,fantasy,5.4,112015,Netflix Exclusive
Netflix,The History of Future Folk,MOVIE,2012,86,music,7.1,3478,Netflix Exclusive
Netflix,A Very Harold & Kumar Christmas,MOVIE,2011,108,comedy,6.2,69562,Netflix Exclusive
Netflix,Escape from Planet Earth,MOVIE,2012,89,scifi,5.8,25734,Netflix Exclusive
Netflix,One Piece Film: Z,MOVIE,2012,108,action,7.8,7243,Netflix Exclusive
Netflix,Bully,MOVIE,2011,92,drama,7.4,10266,Netflix Exclusive
Netflix,"Chaos, Disorder",MOVIE,2012,76,drama,6.2,109,Netflix Exclusive
Netflix,Sebastian Maniscalco: What's Wrong with People?,MOVIE,2012,75,comedy,8.0,1217,Netflix Exclusive
Netflix,Singham,MOVIE,2011,135,drama,6.8,16827,Netflix Exclusive
Netflix,Berserk: The Golden Age Arc II - The Battle for Doldrey,MOVIE,2012,98,action,7.7,10470,Netflix Exclusive
Netflix,Zindagi Na Milegi Dobara,MOVIE,2011,166,romance,8.1,76565,Netflix Exclusive
Netflix,Sleepless Nights,MOVIE,2012,128,documentation,7.7,27,Netflix Exclusive
Netflix,A Princess for Christmas,MOVIE,2011,89,family,6.3,8268,Netflix Exclusive
Netflix,Middle of Nowhere,MOVIE,2012,101,drama,6.5,1838,Netflix Exclusive
Netflix,Donald Glover: Weirdo,MOVIE,2012,65,comedy,7.4,3584,Netflix Exclusive
Netflix,Delhi Belly,MOVIE,2011,102,comedy,7.5,29927,Netflix Exclusive
Netflix,Undefeated,MOVIE,2011,113,documentation,7.7,7073,Netflix Exclusive
Netflix,Barfi!,MOVIE,2012,151,drama,8.1,81198,Netflix Exclusive
Netflix,6 Bullets,MOVIE,2012,115,thriller,6.0,14988,Netflix Exclusive
Netflix,7 Khoon Maaf,MOVIE,2011,148,thriller,6.2,5969,Netflix Exclusive
Netflix,Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,108,action,7.1,5104,Netflix Exclusive
Netflix,The Trial of Adolf Eichmann,MOVIE,2011,90,documentation,7.5,84,Netflix Exclusive
Netflix,Don't Go Breaking My Heart,MOVIE,2011,115,romance,6.5,1803,Netflix Exclusive
Netflix,Jim Gaffigan: Mr. Universe,MOVIE,2012,77,comedy,7.7,3524,Netflix Exclusive
Netflix,A Second Chance,MOVIE,2011,90,drama,4.7,1030,Shared
Netflix,Big Time Movie,MOVIE,2012,68,comedy,6.1,1962,Netflix Exclusive
Netflix,Paan Singh Tomar,MOVIE,2012,135,drama,8.2,36077,Netflix Exclusive
Netflix,Shor in the City,MOVIE,2011,107,drama,7.2,3753,Netflix Exclusive
Netflix,FRED 3: Camp Fred,MOVIE,2012,81,comedy,2.0,2654,Netflix Exclusive
Netflix,Don 2,MOVIE,2011,139,action,7.0,52750,Netflix Exclusive
Netflix,Pyaar Ka Punchnama,MOVIE,2011,149,romance,7.6,21521,Netflix Exclusive
Netflix,Chillar Party,MOVIE,2011,130,comedy,7.5,7831,Netflix Exclusive
Netflix,Talaash,MOVIE,2012,139,crime,7.2,42188,Netflix Exclusive
Netflix,Coming Forth by Day,MOVIE,2012,96,drama,6.5,234,Netflix Exclusive
Netflix,The Great Magician,MOVIE,2011,128,thriller,5.9,1774,Netflix Exclusive
Netflix,Arjun: The Warrior Prince,MOVIE,2012,96,action,6.7,14,Netflix Exclusive
Netflix,Toll Booth,MOVIE,2011,97,drama,6.4,4206,Netflix Exclusive
Netflix,No One Killed Jessica,MOVIE,2011,136,drama,7.2,11783,Netflix Exclusive
Netflix,Ferrari Ki Sawaari,MOVIE,2012,140,family,6.4,5465,Netflix Exclusive
Netflix,Tiger & Bunny: The Beginning,MOVIE,2012,88,scifi,6.6,264,Netflix Exclusive
Netflix,The Dirty Picture,MOVIE,2011,144,drama,6.6,9662,Netflix Exclusive
Netflix,Kath & Kimderella,MOVIE,2012,80,comedy,5.3,1362,Netflix Exclusive
Netflix,Rowdy Rathore,MOVIE,2012,143,action,5.7,22497,Netflix Exclusive
Netflix,OMG: Oh My God!,MOVIE,2012,125,drama,8.1,58017,Netflix Exclusive
Netflix,Ek Main Aur Ekk Tu,MOVIE,2012,110,drama,5.7,6820,Netflix Exclusive
Netflix,A Beautiful Life,MOVIE,2011,124,drama,6.7,927,Netflix Exclusive
Netflix,Mugamoodi,MOVIE,2012,156,drama,5.1,1215,Netflix Exclusive
Netflix,Game,MOVIE,2011,135,thriller,5.2,2353,Netflix Exclusive
Netflix,Bodyguard,MOVIE,2011,134,drama,4.6,25778,Netflix Exclusive
Netflix,Material,MOVIE,2012,94,comedy,7.1,967,Netflix Exclusive
Netflix,Kyaa Super Kool Hain Hum,MOVIE,2012,137,drama,5.0,3926,Netflix Exclusive
Netflix,Jeff Dunham: Controlled Chaos,MOVIE,2011,90,comedy,7.4,2296,Netflix Exclusive
Netflix,Players,MOVIE,2012,165,thriller,4.2,4534,Netflix Exclusive
Netflix,Aiyyaa,MOVIE,2012,146,romance,4.3,1889,Netflix Exclusive
Netflix,Tere Naal Love Ho Gaya,MOVIE,2012,126,drama,5.8,4381,Netflix Exclusive
Netflix,Ragini MMS,MOVIE,2011,93,drama,5.1,2654,Netflix Exclusive
Netflix,Grandmaster,MOVIE,2012,130,thriller,6.9,2211,Netflix Exclusive
Netflix,26 Years,MOVIE,2012,135,drama,6.3,1217,Netflix Exclusive
Netflix,Michael,MOVIE,2011,97,drama,5.3,168,Netflix Exclusive
Netflix,"All's Well, Ends Well",MOVIE,2012,118,romance,5.1,338,Netflix Exclusive
Netflix,Heroine,MOVIE,2012,140,drama,5.0,4353,Netflix Exclusive
Netflix,Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,90,comedy,6.9,234,Netflix Exclusive
Netflix,Jeff Dunham: Minding the Monsters,MOVIE,2012,80,comedy,7.0,1416,Netflix Exclusive
Netflix,Kalakalappu,MOVIE,2012,149,comedy,6.9,1398,Netflix Exclusive
Netflix,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,66,animation,8.7,13,Netflix Exclusive
Netflix,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,70,animation,7.9,50,Netflix Exclusive
Netflix,Bbuddah Hoga Terra Baap,MOVIE,2011,117,thriller,5.6,2908,Netflix Exclusive
Netflix,Luv Shuv Tey Chicken Khurana,MOVIE,2012,140,comedy,6.6,3925,Netflix Exclusive
Netflix,Bwakaw,MOVIE,2012,104,drama,7.1,301,Netflix Exclusive
Netflix,Blood Money,MOVIE,2012,110,thriller,5.0,1480,Netflix Exclusive
Netflix,Shaitan,MOVIE,2011,121,drama,7.2,8475,Netflix Exclusive
Netflix,Department,MOVIE,2012,141,action,3.2,1058,Netflix Exclusive
Netflix,Asmaa,MOVIE,2011,96,drama,8.1,4483,Netflix Exclusive
Netflix,Thaandavam,MOVIE,2012,167,action,6.1,2034,Netflix Exclusive
Netflix,Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,65,animation,7.8,13,Netflix Exclusive
Netflix,Question Mark,MOVIE,2011,102,drama,7.0,259,Netflix Exclusive
Netflix,Husbands in Goa,MOVIE,2012,150,comedy,3.8,286,Netflix Exclusive
Netflix,Chhota Bheem and the Broken Amulet,MOVIE,2012,63,animation,7.7,17,Netflix Exclusive
Netflix,Blitz Patrollie,MOVIE,2012,101,crime,5.4,145,Netflix Exclusive
Netflix,Moshe Kasher: Live in Oakland,MOVIE,2012,60,comedy,6.7,332,Netflix Exclusive
Netflix,The Mistress,MOVIE,2012,125,romance,6.3,361,Netflix Exclusive
Netflix,The Rise of Kirmada,MOVIE,2012,68,animation,8.2,67,Netflix Exclusive
Netflix,Vettai,MOVIE,2012,150,action,6.0,2450,Netflix Exclusive
Netflix,Muran,MOVIE,2011,134,drama,6.3,294,Netflix Exclusive
Netflix,A World Not Ours,MOVIE,2012,93,documentation,7.8,388,Netflix Exclusive
Netflix,Zokkomon,MOVIE,2011,109,fantasy,4.0,411,Netflix Exclusive
Netflix,My Friend Pinto,MOVIE,2011,115,comedy,5.3,392,Netflix Exclusive
Netflix,Here Comes the Rain,MOVIE,2011,100,drama,6.3,63,Netflix Exclusive
Netflix,One More Try,MOVIE,2012,100,drama,6.0,203,Netflix Exclusive
Netflix,Chhota Bheem Master of Shaolin,MOVIE,2011,75,animation,6.1,128,Netflix Exclusive
Netflix,No Other Woman,MOVIE,2011,104,romance,5.9,311,Netflix Exclusive
Netflix,Sisterakas,MOVIE,2012,110,comedy,5.0,285,Netflix Exclusive
Netflix,Phone Swap,MOVIE,2012,111,comedy,6.2,174,Netflix Exclusive
Netflix,"Darling, Something's Wrong with Your Head",MOVIE,2011,78,drama,6.7,133,Netflix Exclusive
Netflix,Paddington,MOVIE,2014,95,comedy,7.2,113735,Netflix Exclusive
Netflix,It Follows,MOVIE,2014,101,horror,6.8,236513,Netflix Exclusive
Netflix,The Imitation Game,MOVIE,2014,113,thriller,8.0,756254,Netflix Exclusive
Netflix,Rush,MOVIE,2013,123,drama,8.1,471586,Netflix Exclusive
Netflix,Nightcrawler,MOVIE,2014,118,thriller,7.8,531779,Netflix Exclusive
Netflix,St. Vincent,MOVIE,2014,102,comedy,7.2,102820,Netflix Exclusive
Netflix,The Conjuring,MOVIE,2013,112,horror,7.5,496484,Shared
Netflix,How to Train Your Dragon 2,MOVIE,2014,102,action,7.8,330975,Netflix Exclusive
Netflix,Oldboy,MOVIE,2013,104,action,5.7,75728,Netflix Exclusive
Netflix,Big Eyes,MOVIE,2014,106,drama,7.2,51,Netflix Exclusive
Netflix,Begin Again,MOVIE,2013,104,drama,7.4,155249,Netflix Exclusive
Netflix,42,MOVIE,2013,128,drama,7.5,94520,Shared
Netflix,Olympus Has Fallen,MOVIE,2013,120,action,6.5,274270,Netflix Exclusive
Netflix,Dark Skies,MOVIE,2013,97,scifi,6.3,75663,Netflix Exclusive
Netflix,Blue Jasmine,MOVIE,2013,99,drama,7.3,201749,Shared
Netflix,Insidious: Chapter 2,MOVIE,2013,106,horror,6.5,169039,Netflix Exclusive
Netflix,Creep,MOVIE,2014,82,horror,6.3,53408,Netflix Exclusive
Netflix,Barefoot,MOVIE,2014,90,romance,6.6,24167,Netflix Exclusive
Netflix,The Giver,MOVIE,2014,97,drama,6.4,118877,Netflix Exclusive
Netflix,Mandela: Long Walk to Freedom,MOVIE,2013,141,drama,7.1,27866,Netflix Exclusive
Netflix,The Green Inferno,MOVIE,2013,100,thriller,5.3,44016,Netflix Exclusive
Netflix,Empire State,MOVIE,2013,94,action,5.2,21538,Netflix Exclusive
Netflix,Penguins of Madagascar,MOVIE,2014,92,family,6.6,89930,Netflix Exclusive
Netflix,A Walk Among the Tombstones,MOVIE,2014,113,drama,6.5,121232,Netflix Exclusive
Netflix,The Call,MOVIE,2013,94,thriller,6.7,121843,Shared
Netflix,Scary Movie 5,MOVIE,2013,89,comedy,3.5,71405,Netflix Exclusive
Netflix,Philomena,MOVIE,2013,97,drama,7.6,99647,Netflix Exclusive
Netflix,Seventh Son,MOVIE,2014,102,action,5.5,76939,Netflix Exclusive
Netflix,The Butler,MOVIE,2013,132,drama,7.2,114768,Netflix Exclusive
Netflix,Texas Chainsaw 3D,MOVIE,2013,87,thriller,4.8,49312,Netflix Exclusive
Netflix,Cloudy with a Chance of Meatballs 2,MOVIE,2013,95,animation,6.3,102071,Netflix Exclusive
Netflix,Metallica: Through the Never,MOVIE,2013,93,music,7.1,17513,Netflix Exclusive
Netflix,Mr. Peabody & Sherman,MOVIE,2014,92,action,6.8,69669,Netflix Exclusive
Netflix,The Frozen Ground,MOVIE,2013,105,thriller,6.4,62972,Netflix Exclusive
Netflix,Shrek the Musical,MOVIE,2013,130,music,6.9,3695,Netflix Exclusive
Netflix,The Railway Man,MOVIE,2013,116,drama,7.1,40175,Netflix Exclusive
Netflix,Get on Up,MOVIE,2014,139,drama,6.9,24613,Netflix Exclusive
Netflix,Who Am I,MOVIE,2014,105,thriller,7.5,55044,Netflix Exclusive
Netflix,The Battered Bastards of Baseball,MOVIE,2014,80,documentation,8.0,4043,Netflix Exclusive
Netflix,Walk of Shame,MOVIE,2014,95,comedy,6.0,54465,Netflix Exclusive
Netflix,Cowspiracy: The Sustainability Secret,MOVIE,2014,90,documentation,8.2,25133,Netflix Exclusive
Netflix,The Smurfs 2,MOVIE,2013,105,comedy,5.3,42011,Netflix Exclusive
Netflix,"I, Frankenstein",MOVIE,2014,92,thriller,5.1,80985,Netflix Exclusive
Netflix,The November Man,MOVIE,2014,108,thriller,6.2,67737,Netflix Exclusive
Netflix,PK,MOVIE,2014,153,drama,8.1,181406,Netflix Exclusive
Netflix,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,80,comedy,8.3,8084,Netflix Exclusive
Netflix,Copenhagen,MOVIE,2014,98,drama,7.0,13233,Netflix Exclusive
Netflix,Thanks for Sharing,MOVIE,2013,112,comedy,6.4,28396,Netflix Exclusive
Netflix,Queen,MOVIE,2014,146,comedy,8.1,65418,Netflix Exclusive
Netflix,Virunga,MOVIE,2014,90,documentation,8.2,11476,Netflix Exclusive
Netflix,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,75,comedy,8.0,3331,Netflix Exclusive
Netflix,Effie Gray,MOVIE,2014,104,drama,6.0,5596,Netflix Exclusive
Netflix,Elena,MOVIE,2013,82,documentation,7.6,1823,Netflix Exclusive
Netflix,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,101,thriller,5.2,17264,Netflix Exclusive
Netflix,The Nut Job,MOVIE,2014,85,comedy,5.7,28484,Netflix Exclusive
Netflix,Haider,MOVIE,2014,150,action,8.1,54709,Netflix Exclusive
Netflix,Omar,MOVIE,2013,96,romance,7.5,14318,Netflix Exclusive
Netflix,Tom Segura: Completely Normal,MOVIE,2014,74,comedy,7.7,2663,Netflix Exclusive
Netflix,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,127,documentation,6.9,7934,Netflix Exclusive
Netflix,Search Party,MOVIE,2014,93,comedy,5.6,7840,Netflix Exclusive
Netflix,Stand by Me Doraemon,MOVIE,2014,90,scifi,7.3,7989,Netflix Exclusive
Netflix,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,110,drama,7.8,10173,Netflix Exclusive
Netflix,The Square,MOVIE,2013,88,documentation,8.1,8949,Netflix Exclusive
Netflix,2 States,MOVIE,2014,149,drama,6.9,25656,Netflix Exclusive
Netflix,The Short Game,MOVIE,2013,100,documentation,7.3,1570,Netflix Exclusive
Netflix,Highway,MOVIE,2014,133,crime,7.6,28688,Netflix Exclusive
Netflix,Jinxed,MOVIE,2013,70,comedy,6.3,1488,Netflix Exclusive
Netflix,Dabbe: The Possession,MOVIE,2013,120,horror,6.8,5831,Netflix Exclusive
Netflix,Ralphie May: Imperfectly Yours,MOVIE,2013,69,comedy,5.4,154,Netflix Exclusive
Netflix,Mary Kom,MOVIE,2014,122,history,6.8,10769,Netflix Exclusive
Netflix,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,music,7.3,1677,Netflix Exclusive
Netflix,Fukrey,MOVIE,2013,137,drama,6.9,11780,Netflix Exclusive
Netflix,Free Birds,MOVIE,2013,91,animation,5.8,24140,Netflix Exclusive
Netflix,Race 2,MOVIE,2013,150,thriller,5.3,16455,Netflix Exclusive
Netflix,Birth Reborn,MOVIE,2013,91,documentation,7.8,252,Netflix Exclusive
Netflix,The Berlin File,MOVIE,2013,120,action,6.6,7198,Netflix Exclusive
Netflix,Monty Python: The Meaning of Live,MOVIE,2014,96,documentation,7.6,598,Netflix Exclusive
Netflix,Imperial Dreams,MOVIE,2014,87,drama,6.7,4509,Netflix Exclusive
Netflix,Monty Python: Live (Mostly),MOVIE,2014,138,documentation,7.6,2623,Netflix Exclusive
Netflix,Hasee Toh Phasee,MOVIE,2014,141,comedy,6.8,15152,Netflix Exclusive
Netflix,The Boss: Anatomy of a Crime,MOVIE,2014,98,drama,7.3,2156,Netflix Exclusive
Netflix,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,160,action,4.4,7204,Netflix Exclusive
Netflix,Jim Jefferies: Bare,MOVIE,2014,76,comedy,8.0,5461,Netflix Exclusive
Netflix,Pizza,MOVIE,2014,107,horror,6.2,1313,Netflix Exclusive
Netflix,Boss,MOVIE,2013,143,comedy,5.1,11159,Netflix Exclusive
Netflix,Madras Cafe,MOVIE,2013,130,action,7.6,24506,Netflix Exclusive
Netflix,Ankhon Dekhi,MOVIE,2014,104,drama,8.0,11330,Netflix Exclusive
Netflix,Kai Po Che!,MOVIE,2013,126,drama,7.7,36784,Netflix Exclusive
Netflix,Anjaan,MOVIE,2014,170,crime,5.3,5018,Netflix Exclusive
Netflix,ABCD,MOVIE,2013,136,music,6.3,6960,Netflix Exclusive
Netflix,Blind Detective,MOVIE,2013,130,crime,6.4,3300,Netflix Exclusive
Netflix,Satyagraha,MOVIE,2013,152,drama,5.9,5171,Netflix Exclusive
Netflix,Buddies,MOVIE,2013,94,drama,6.5,1082,Netflix Exclusive
Netflix,Khoobsurat,MOVIE,2014,130,comedy,6.4,8464,Netflix Exclusive
Netflix,The Perfect Dictatorship,MOVIE,2014,143,drama,7.2,5432,Netflix Exclusive
Netflix,Bride for Rent,MOVIE,2014,115,romance,6.4,601,Netflix Exclusive
Netflix,Selfie,MOVIE,2014,123,comedy,6.0,1671,Netflix Exclusive
Netflix,Chashme Baddoor,MOVIE,2013,120,comedy,5.4,5148,Netflix Exclusive
Netflix,Bombay Talkies,MOVIE,2013,127,drama,6.6,5402,Netflix Exclusive
Netflix,Humpty Sharma Ki Dulhania,MOVIE,2014,133,drama,6.0,12969,Netflix Exclusive
Netflix,Ragini MMS 2,MOVIE,2014,120,horror,3.9,2903,Netflix Exclusive
Netflix,Mission Blue,MOVIE,2014,94,documentation,7.9,1991,Netflix Exclusive
Netflix,Chennai Express,MOVIE,2013,141,romance,6.0,53939,Netflix Exclusive
Netflix,Saheb Biwi Aur Gangster Returns,MOVIE,2013,142,action,6.7,3997,Netflix Exclusive
Netflix,Raja Natwarlal,MOVIE,2014,141,thriller,6.1,4311,Netflix Exclusive
Netflix,My Beautiful Broken Brain,MOVIE,2014,84,documentation,7.0,2286,Netflix Exclusive
Netflix,Jim Gaffigan: Obsessed,MOVIE,2014,70,comedy,7.6,2244,Netflix Exclusive
Netflix,Eyes of a Thief,MOVIE,2014,98,drama,6.6,450,Netflix Exclusive
Netflix,Miss Granny,MOVIE,2014,124,drama,7.2,3508,Netflix Exclusive
Netflix,Aziz Ansari: Buried Alive,MOVIE,2013,79,comedy,7.2,3998,Netflix Exclusive
Netflix,Print the Legend,MOVIE,2014,100,documentation,7.0,1967,Netflix Exclusive
Netflix,The Butterfly's Dream,MOVIE,2013,138,drama,7.7,22191,Netflix Exclusive
Netflix,Tea Time,MOVIE,2014,70,documentation,7.6,507,Netflix Exclusive
Netflix,Mitt,MOVIE,2014,93,documentation,6.9,2579,Netflix Exclusive
Netflix,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,2014,81,comedy,6.2,1569,Netflix Exclusive
Netflix,Ungli,MOVIE,2014,114,thriller,5.8,3914,Netflix Exclusive
Netflix,When Love Happens,MOVIE,2014,109,romance,4.8,129,Netflix Exclusive
Netflix,Marc Maron: Thinky Pain,MOVIE,2013,90,comedy,7.3,1892,Netflix Exclusive
Netflix,Coming Soon,MOVIE,2014,134,romance,7.3,34137,Netflix Exclusive
Netflix,Born in Gaza,MOVIE,2014,69,documentation,7.4,511,Netflix Exclusive
Netflix,Tiger & Bunny: The Rising,MOVIE,2014,108,scifi,6.7,334,Netflix Exclusive
Netflix,My Own Man,MOVIE,2014,82,documentation,6.4,447,Netflix Exclusive
Netflix,SDU: Sex Duties Unit,MOVIE,2013,94,comedy,5.9,492,Netflix Exclusive
Netflix,City of God: 10 Years Later,MOVIE,2013,69,documentation,6.4,1322,Netflix Exclusive
Netflix,October 1,MOVIE,2014,149,thriller,6.4,446,Netflix Exclusive
Netflix,The Amazing Praybeyt Benjamin,MOVIE,2014,105,drama,4.0,195,Netflix Exclusive
Netflix,Free to Play,MOVIE,2014,75,documentation,7.6,13341,Netflix Exclusive
Netflix,Inkaar,MOVIE,2013,133,drama,6.1,2586,Netflix Exclusive
Netflix,Dabbe 5: Curse of the Jinn,MOVIE,2014,132,horror,5.9,3788,Netflix Exclusive
Netflix,Diamonds in the Sky,MOVIE,2014,132,drama,7.4,10,Netflix Exclusive
Netflix,Chhota Bheem and the ShiNobi Secret,MOVIE,2013,63,animation,8.6,6,Netflix Exclusive
Netflix,Bhaji in Problem,MOVIE,2013,117,drama,7.1,1021,Netflix Exclusive
Netflix,Dedh Ishqiya,MOVIE,2014,148,romance,7.0,7236,Netflix Exclusive
Netflix,She's The One,MOVIE,2013,110,romance,6.3,210,Netflix Exclusive
Netflix,Wedding Association,MOVIE,2013,106,comedy,7.0,22458,Netflix Exclusive
Netflix,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,71,comedy,5.8,1179,Netflix Exclusive
